subject,Rater,condition,age,call_lat,song_lat,flight_lat,resp_lat,songs,flights,time
Juv 4,ceci,sti,juv,600,60,60,60,36,50,540
Juv 5,ceci,sti,juv,14,37,22,14,38,45,600
Juv 6,ceci,sti,juv,160,600,160,160,0,15,420
CJ124,ceci,sti,juv,67,80,80,67,32,33,600
Juv 10,ceci,sti,juv,2,21,2,2,60,56,600
Juv 11,ceci,sti,juv,65,96,90,65,41,35,220
Juv 14,ceci,sti,juv,74,220,105,74,14,21,540
Juv 15,ceci,sti,juv,11,507,120,11,4,37,600
SG 21,sofia,sti,juv,15,168,23,15,12,33,207
SG 14,sofia,sti,juv,2,85,11,2,2,26,225
SG 20,sofia,sti,juv,11,26,33,11,84,39,382
SG 22,sofia,sti,juv,13,600,12,12,0,25,494
SG 31,sofia,sti,juv,3,11,4,3,0,27,492
SG 36,sofia,sti,juv,33,42,34,33,66,30,546
SG 48,sofia,sti,juv,35,76,80,35,43,22,147
Juv 1,ceci,control,juv,600,600,600,600,0,0,0
Juv 3,ceci,control,juv,600,600,600,600,0,0,0
Juv 7,ceci,control,juv,600,600,600,600,0,0,0
Juv 9,ceci,control,juv,600,600,600,600,0,0,0
Juv 12,ceci,control,juv,600,600,600,600,0,0,0
SG 12,sofia,control,juv,120,600,600,120,0,0,0
SG 18,sofia,control,juv,600,600,600,600,0,0,0
SG 88,sofia,control,juv,600,600,600,600,0,0,0
SG 90,sofia,control,juv,600,600,600,600,0,0,0
SG 93,sofia,control,juv,300,600,300,300,0,2,120
SG 94,sofia,control,juv,600,600,600,600,0,0,0
SG 16,sofia,sti,adult,65,106,105,65,5,14,359
SG 19,sofia,sti,adult,43,204,103,43,4,24,180
SG 23,sofia,sti,adult,23,36,23,23,24,58,216
SG 24,sofia,sti,adult,35,361,114,35,1,17,46
SG 30,sofia,sti,adult,5,6,12,5,9,31,318
SG 32,sofia,sti,adult,4,116,33,4,31,40,237
SG 33,sofia,sti,adult,63,23,22,22,29,45,577
SG 34,sofia,sti,adult,600,2,1,1,97,41,551
SG 35,sofia,sti,adult,35,58,36,35,17,19,239
SG 37,sofia,sti,adult,54,118,56,54,7,34,442
SG 38,sofia,sti,adult,5,34,22,5,48,30,99
SG 39,sofia,sti,adult,42,137,117,42,53,6,414
SG 47,sofia,sti,adult,125,77,57,57,41,20,144
SG 49,sofia,sti,adult,4,13,11,4,29,36,416
SG  9,sofia,control,adult,600,600,600,600,0,0,0
SG 10,sofia,control,adult,600,600,600,600,0,0,0
SG 17,sofia,control,adult,600,600,600,600,0,0,0
SG 26,sofia,control,adult,600,600,600,600,0,0,0
SG 27,sofia,control,adult,600,600,600,600,0,0,0
SG 28,sofia,control,adult,600,600,600,600,0,0,0
SG 40,sofia,control,adult,600,600,600,600,0,0,0
SG 41,sofia,control,adult,600,600,600,600,0,0,0
SG 43,sofia,control,adult,600,600,600,600,0,0,0
SG 44,sofia,control,adult,600,600,600,600,0,0,0
SG 45,sofia,control,adult,600,600,600,600,0,0,0
SG 46,sofia,control,adult,600,600,600,600,0,0,0
SG 89,sofia,control,adult,600,600,600,600,8,0,0
SG 92,sofia,control,adult,600,600,600,600,0,0,0
SG 96,sofia,control,adult,600,600,600,600,0,0,0